Commune,mean
CHEVRY-COSSIGNY,3517.0
CONCHES-SUR-GONDOIRE,3622.0
BAZOCHES-LES-BRAY,1372.0
AUFFREVILLE-BRASSEUIL,3235.0
CROSNE,3916.0
ABBEVILLE-LA-RIVIERE,2304.0
TRIEL-SUR-SEINE,3631.0
GUIGNES,3027.0
POIGNY,1972.0
AULNAY-SOUS-BOIS,3948.0
JOUY-LE-MOUTIER,3307.0
SAINT-JEAN-LES-DEUX-JUMEAUX,2551.0
SONCHAMP,2680.0
MONTSOULT,3469.0
SAINT-MARTIN-LA-GARENNE,2694.0
MAISONS-LAFFITTE,7268.0
ARTHIES,2771.0
FONTENAY-SOUS-BOIS,7202.0
ALFORTVILLE,5566.0
BRIIS-SOUS-FORGES,3699.0
NANDY,3308.0
PANTIN,6500.0
MEROBERT,2070.0
BAGNEUX,5926.0
VERSAILLES,7836.0
CHATIGNONVILLE,1924.0
SAMMERON,2383.0
SURESNES,7910.0
MORIGNY-CHAMPIGNY,2973.0
MERICOURT,2336.0
VALENTON,3684.0
SAVINS,1980.0
GURCY-LE-CHATEL,1855.0
MAISSE,2811.0
BANNOST-VILLEGAGNON,2061.0
BAZOCHES-SUR-GUYONNE,4711.0
HOUDAN,3250.0
COUILLY-PONT-AUX-DAMES,3229.0
BOBIGNY,3938.0
PRUNAY-LE-TEMPLE,2494.0
